frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
222,8.995282302510716,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
223,9.035801592161667,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
224,9.076320881812615,1,29.4,74.8,294,748,29.4,74.8,294,748,green_difference/PSM7,gray_otsu/PSM7,29.4,74.8,ACCEPT_PRIMARY,0
225,9.116840171463565,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
226,9.157359461114513,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
227,9.197878750765463,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
228,9.238398040416412,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
229,9.278917330067362,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
230,9.31943661971831,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
231,9.35995590936926,0,,,,,,,,,,,29.4,74.8,UNSAMPLED,0
232,9.400475199020208,1,29.5,74.9,295,74.90,29.5,74.9,295,74.90,green_difference/PSM7,gray_otsu/PSM7,29.5,74.9,ACCEPT_PRIMARY,0
233,9.440994488671159,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
234,9.481513778322107,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
235,9.522033067973057,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
236,9.562552357624005,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
237,9.603071647274955,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
238,9.643590936925904,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
239,9.684110226576854,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
240,9.724629516227802,1,,74.9,29,74.90,,,,,,,29.5,74.9,HOLD_PREVIOUS,1
241,9.765148805878752,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
242,9.8056680955297,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
243,9.84618738518065,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
244,9.886706674831599,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
245,9.927225964482547,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
246,9.967745254133497,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
247,10.008264543784446,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
